LGA,Commute Time (mins)
Port Phillip,27
Port Phillip,53
Port Phillip,25
Melbourne,35
Melbourne,25
Casey,30
Casey,20
Casey,40
Casey,60
Casey,30
Casey,120
Casey,15
Casey,30
Casey,20
Casey,28
Casey,60
Casey,18
Casey,30
Casey,35
Casey,3
Casey,103
Casey,30
Casey,25
Casey,20
Casey,45
Casey,15
Casey,30
Casey,37
Casey,14
Casey,30
Casey,25
Casey,6
Casey,4
Casey,20
Casey,25
Casey,30
Casey,10
Casey,10
Casey,45
Casey,5
Casey,5
Casey,26
Casey,6
Casey,17
Casey,12
Casey,45
Casey,30
Casey,50
Casey,52
Casey,15
Casey,40
Casey,10
Casey,18
Casey,15
Casey,30
Casey,5
Casey,63
Port Phillip,65
Port Phillip,50
Port Phillip,20
Port Phillip,95
Wyndham,30
Wyndham,225
Wyndham,35
Wyndham,25
Wyndham,48
Wyndham,24
Wyndham,28
Casey,20
Casey,28
Casey,45
Casey,15
Casey,15
Casey,90
Casey,20
Casey,54
Casey,20
Casey,60
Casey,47
Casey,60
Casey,16
Casey,19
Casey,40
Casey,20
Casey,45
Casey,16
Casey,10
Casey,33
Casey,70
Casey,17
Casey,24
Casey,30
Casey,42
Casey,30
Casey,30
Casey,6
Casey,45
Casey,6
Yarra,252
Yarra,20
Yarra,36
Yarra,20
Yarra,22
Yarra,28
Yarra,21
Yarra,40
Yarra,15
Yarra,45
Wyndham,17
Wyndham,55
Wyndham,41
Wyndham,20
Wyndham,15
Wyndham,32
Wyndham,30
Wyndham,35
Wyndham,32
Port Phillip,8
Port Phillip,35
Port Phillip,15
Port Phillip,27
Port Phillip,37
Wyndham,46
Wyndham,52
Wyndham,5
Wyndham,12
Wyndham,4
Wyndham,10
Wyndham,28
Wyndham,32
Wyndham,10
Wyndham,77
Wyndham,20
Wyndham,79
Wyndham,40
Wyndham,35
Wyndham,40
Wyndham,60
Casey,15
Casey,25
Casey,19
Casey,55
Casey,15
Casey,8
Casey,30
Casey,16
Casey,22
Casey,11
Casey,30
Casey,45
Casey,25
Casey,105
Casey,29
Casey,24
Casey,20
Casey,30
Casey,25
Port Phillip,10
Port Phillip,31
Port Phillip,45
Wyndham,4
Wyndham,49
Wyndham,45
Wyndham,10
Wyndham,30
Wyndham,76
Wyndham,17
Greater Geelong,40
Greater Geelong,10
Greater Geelong,20
Greater Geelong,30
Greater Geelong,26
Greater Geelong,22
Greater Geelong,21
Greater Geelong,18
Greater Geelong,10
Greater Geelong,112
Greater Geelong,15
Greater Geelong,9
Greater Geelong,9
Greater Geelong,7
Greater Geelong,22
Greater Geelong,15
Greater Geelong,14
Casey,30
Casey,30
Casey,75
Casey,51
Casey,38
Casey,37
Casey,41
Casey,30
Casey,15
Casey,30
Casey,10
Casey,18
Casey,13
Casey,27
Greater Geelong,22
Greater Geelong,22
Greater Geelong,32
Greater Geelong,10
Yarra,20
Yarra,20
Yarra,20
Yarra,31
Yarra,19
Yarra,27
Yarra,5
Yarra,20
Yarra,39
Greater Geelong,36
Greater Geelong,23
Greater Geelong,28
Greater Geelong,15
Greater Geelong,10
Greater Geelong,23
Greater Geelong,3
Greater Geelong,31
Greater Geelong,28
Greater Geelong,138
Greater Geelong,10
Greater Geelong,29
Greater Geelong,3
Greater Geelong,8
Greater Geelong,92
Greater Geelong,11
Greater Geelong,13
Greater Geelong,17
Greater Geelong,45
Greater Geelong,35
Greater Geelong,16
Greater Geelong,24
Greater Geelong,28
Greater Geelong,20
Yarra,20
Yarra,9
Yarra,30
Yarra,30
Yarra,43
Greater Geelong,12
Greater Geelong,27
Greater Geelong,80
Greater Geelong,10
Greater Geelong,10
Greater Geelong,6
Greater Geelong,8
Greater Geelong,6
Greater Geelong,50
Greater Geelong,45
Greater Geelong,18
Greater Geelong,6
Greater Geelong,38
Greater Geelong,20
Greater Geelong,12
Greater Geelong,70
Wyndham,35
Wyndham,50
Wyndham,75
Wyndham,45
Greater Geelong,20
Greater Geelong,30
Greater Geelong,20
Greater Geelong,22
Greater Geelong,25
Greater Geelong,20
Greater Geelong,30
Greater Geelong,15
Greater Geelong,56
Greater Geelong,24
Greater Geelong,9
Greater Geelong,30
Greater Geelong,32
Greater Geelong,15
Greater Geelong,5
Greater Geelong,30
Greater Geelong,15
Greater Geelong,21
Greater Geelong,3
Greater Geelong,17
Greater Geelong,30
Greater Geelong,14
Greater Geelong,20
Greater Geelong,3
Wyndham,60
Wyndham,40
Wyndham,5
Wyndham,13
Greater Geelong,7
Greater Geelong,45
Greater Geelong,5
Greater Geelong,23
Greater Geelong,10
Greater Geelong,70
Greater Geelong,19
Greater Geelong,60
Greater Geelong,90
Greater Geelong,15
Greater Geelong,60
Greater Geelong,80
Greater Geelong,17
Greater Geelong,10
Greater Geelong,5
Greater Geelong,20
Greater Geelong,10
Greater Geelong,120
Greater Geelong,32
Greater Geelong,4
Greater Geelong,10
Greater Geelong,9
Greater Geelong,54
Greater Geelong,20
Greater Geelong,46
Greater Geelong,40
Greater Geelong,10
Greater Geelong,25
Greater Geelong,2
Greater Geelong,26
Greater Geelong,18
Greater Geelong,5
Wyndham,105
Wyndham,30
Wyndham,56
Wyndham,68
Greater Geelong,19
Greater Geelong,11
Greater Geelong,20
Greater Geelong,10
Greater Geelong,19
Greater Geelong,23
Greater Geelong,22
Greater Geelong,25
Greater Geelong,28
Melbourne,80
Melbourne,18
Melbourne,95
Melbourne,30
Melbourne,30
Melbourne,20
Melbourne,32
Melbourne,30
Melbourne,21
Melbourne,22
Melbourne,36
Melbourne,28
Melbourne,36
Wyndham,44
Wyndham,50
Wyndham,31
Wyndham,60
Wyndham,65
Wyndham,74
Port Phillip,18
Port Phillip,11
Port Phillip,57
Port Phillip,17
Port Phillip,35
Port Phillip,29
Port Phillip,28
Port Phillip,30
Port Phillip,30
Port Phillip,22
Casey,30
Casey,10
Casey,115
Casey,10
Casey,18
Casey,15
Casey,4
Casey,50
Wyndham,40
Wyndham,20
Wyndham,4
Wyndham,8
Wyndham,5
Wyndham,7
Wyndham,34
Wyndham,40
Wyndham,60
Melbourne,10
Melbourne,20
Melbourne,15
Melbourne,10
Melbourne,20
